;Moyenne de B;Moyenne de G;Moyenne de R
Grain isolé 1;0;0;0
Grain isolé 2;19;19;19
Grain isolé 3;19;19;19
Grain isolé 4;19;19;19
Grain isolé 5;19;19;19
Grain isolé 6;20;20;21
Grain isolé 7;27;30;32
Grain isolé 8;47;54;59
Grain isolé 9;37;49;55
Grain isolé 10;25;29;31
Grain isolé 11;66;76;76
Grain isolé 12;68;82;90
Grain isolé 13;149;176;202
Grain isolé 14;41;50;55
Grain isolé 15;19;19;19
Grain isolé 16;21;21;22
Grain isolé 17;41;48;52
Grain isolé 18;19;19;19
Grain isolé 19;92;112;113
Grain isolé 20;22;22;22
Grain isolé 21;25;32;36
Grain isolé 22;19;19;19
Grain isolé 23;53;53;53
Grain isolé 24;88;89;93
Grain isolé 25;20;20;20
Grain isolé 26;97;113;120
Grain isolé 27;136;147;154
Grain isolé 28;118;142;162
Grain isolé 29;172;190;204
Grain isolé 30;22;25;27
Grain isolé 31;20;20;20
Grain isolé 32;79;91;99
Grain isolé 33;26;36;43
Grain isolé 34;35;36;38
Grain isolé 35;20;21;21
Grain isolé 36;22;25;26
Grain isolé 37;108;130;150
Grain isolé 38;150;158;165
Grain isolé 39;98;98;99
Grain isolé 40;107;106;108
Grain isolé 41;19;22;24
Grain isolé 42;134;140;144
Grain isolé 43;32;36;38
Grain isolé 44;18;19;19
Grain isolé 45;72;81;85
Grain isolé 46;24;25;25
Grain isolé 47;20;25;28
Grain isolé 48;21;23;24
Grain isolé 49;87;107;121
Grain isolé 50;16;17;17
Grain isolé 51;70;76;77
Grain isolé 52;86;90;93
Grain isolé 53;81;100;101
Grain isolé 54;60;65;68
Grain isolé 55;111;118;125
Grain isolé 56;121;137;141
Grain isolé 57;17;22;24
Grain isolé 58;44;48;50
Grain isolé 59;21;23;24
Grain isolé 60;22;23;24
Grain isolé 61;72;73;76
Grain isolé 62;23;24;25
Grain isolé 63;68;83;86
Grain isolé 64;49;54;54
Grain isolé 65;49;53;55
Grain isolé 66;77;78;81
Grain isolé 67;90;122;130
Grain isolé 68;127;136;141
Grain isolé 69;99;107;113
Grain isolé 70;15;18;18
Grain isolé 71;142;158;164
Grain isolé 72;26;33;35
Grain isolé 73;23;26;27
Grain isolé 74;93;119;131
Grain isolé 75;36;43;45
Grain isolé 76;32;36;38
Grain isolé 77;37;48;53
Grain isolé 78;61;80;88
Grain isolé 79;86;98;104
Grain isolé 80;78;97;99
Grain isolé 81;144;162;166
Grain isolé 82;104;123;123
Grain isolé 83;19;21;22
Grain isolé 84;126;156;172
